iter	Passed	Remaining
0	166	166344
1	170	84934
2	172	57489
3	175	43805
4	180	35932
5	183	30444
6	188	26671
7	192	23903
8	197	21716
9	200	19877
10	203	18321
11	208	17125
12	211	16088
13	215	15147
14	218	14349
15	222	13668
16	229	13241
17	232	12698
18	237	12254
19	241	11811
20	244	11382
21	247	11003
22	252	10714
23	256	10418
24	259	10130
25	267	10008
26	270	9753
27	273	9503
28	278	9327
29	282	9143
30	286	8946
31	289	8746
32	293	8597
33	296	8421
34	299	8257
35	303	8116
36	307	8006
37	310	7864
38	313	7725
39	317	7615
40	321	7527
41	327	7469
42	330	7358
43	333	7249
44	336	7144
45	340	7059
46	343	6967
47	346	6872
48	349	6785
49	353	6708
50	356	6630
51	359	6549
52	361	6467
53	365	6409
54	368	6339
55	371	6267
56	374	6195
57	377	6137
58	381	6081
59	384	6022
60	387	5958
61	390	5900
62	393	5849
63	396	5804
64	400	5765
65	403	5715
66	407	5668
67	411	5641
68	414	5597
69	417	5550
70	420	5505
71	426	5499
72	429	5456
73	432	5414
74	435	5372
75	439	5340
76	442	5300
77	445	5261
78	447	5219
79	452	5204
80	455	5172
81	458	5135
82	460	5085
83	463	5053
84	469	5059
85	472	5023
86	475	4988
87	478	4956
88	484	4957
89	487	4924
90	489	4894
91	493	4868
92	498	4857
93	501	4832
94	504	4805
95	507	4776
96	510	4753
97	513	4727
98	516	4702
99	519	4674
100	522	4647
101	525	4629
102	529	4608
103	531	4582
104	534	4559
105	537	4534
106	541	4517
107	544	4496
108	547	4474
109	550	4451
110	553	4435
111	557	4421
112	560	4401
113	563	4380
114	566	4360
115	570	4347
116	572	4323
117	575	4305
118	578	4285
119	583	4280
120	588	4273
121	591	4253
122	594	4236
123	598	4228
124	601	4212
125	605	4201
126	608	4181
127	612	4175
128	616	4160
129	621	4159
130	624	4144
131	629	4141
132	634	4136
133	638	4123
134	643	4121
135	646	4107
136	649	4092
137	652	4076
138	659	4082
139	662	4069
140	665	4053
141	667	4032
142	672	4029
143	675	4014
144	679	4004
145	682	3993
146	686	3984
147	689	3968
148	692	3957
149	695	3943
150	700	3936
151	702	3920
152	705	3903
153	707	3886
154	709	3868
155	712	3852
156	714	3838
157	717	3821
158	719	3805
159	721	3790
160	723	3771
161	726	3757
162	729	3744
163	731	3729
164	734	3717
165	736	3701
166	738	3685
167	742	3677
168	744	3663
169	747	3650
170	750	3637
171	752	3622
172	755	3609
173	758	3598
174	761	3588
175	763	3575
176	766	3563
177	769	3552
178	772	3543
179	775	3530
180	777	3518
181	780	3505
182	783	3496
183	788	3496
184	791	3485
185	796	3487
186	804	3495
187	807	3486
188	810	3476
189	813	3466
190	816	3457
191	818	3446
192	821	3434
193	823	3422
194	826	3411
195	832	3415
196	835	3405
197	837	3393
198	840	3381
199	843	3374
200	846	3366
201	849	3356
202	852	3346
203	854	3335
204	858	3330
205	861	3320
206	864	3310
207	866	3299
208	869	3290
209	872	3281
210	875	3272
211	877	3262
212	880	3252
213	882	3241
214	887	3239
215	890	3230
216	892	3221
